log,excluded_feature,structural,pattern,delta_cat,delta_num,n_significant,n_targets
BPI20_RequestForPayment_CZ,Activity,True,attr_level,0.01740490522767816,0.01265069835353644,3.0,9.0
BPI20_RequestForPayment_CZ,Activity,True,even,0.006335469654628231,0.017168816551566126,4.0,9.0
BPI20_RequestForPayment_CZ,Activity,True,odd,0.005899118525641289,0.01886766939423979,3.0,9.0
BPI20_RequestForPayment_CZ,Activity,True,random,-0.0022385128906794926,0.015114725101739158,3.0,9.0
BPI20_RequestForPayment_CZ,Activity,True,window,0.012523547240665987,0.0019231207668781512,3.0,9.0
BPI20_RequestForPayment_CZ,case:Activity,False,attr_level,0.003248390236071174,0.007910255668684852,1.0,9.0
BPI20_RequestForPayment_CZ,case:Activity,False,even,0.0008761107921600532,0.011709494679234926,1.0,9.0
BPI20_RequestForPayment_CZ,case:Activity,False,odd,-0.0008939368384225059,0.010625016456469892,0.0,9.0
BPI20_RequestForPayment_CZ,case:Activity,False,random,0.0023155561515263118,0.00957544054836033,0.0,9.0
BPI20_RequestForPayment_CZ,case:Activity,False,window,-0.001008687700544107,0.010106858634389936,0.0,9.0
BPI20_RequestForPayment_CZ,case:OrganizationalEntity,False,attr_level,0.0010690560298306426,0.01329563050530851,1.0,9.0
BPI20_RequestForPayment_CZ,case:OrganizationalEntity,False,even,-0.00011681658881049614,0.03160791262052953,3.0,9.0
BPI20_RequestForPayment_CZ,case:OrganizationalEntity,False,odd,-0.0029452426092965484,0.0370439725695178,3.0,9.0
BPI20_RequestForPayment_CZ,case:OrganizationalEntity,False,random,0.0022962570190429655,0.013904730323702097,2.0,9.0
BPI20_RequestForPayment_CZ,case:OrganizationalEntity,False,window,-0.0018593924386160715,0.009842210961505775,1.0,9.0
BPI20_RequestForPayment_CZ,case:Project,False,attr_level,0.0002614319324493434,0.021247756830416634,1.0,9.0
BPI20_RequestForPayment_CZ,case:Project,False,even,0.0011475316115788464,0.024443136062473076,1.0,9.0
BPI20_RequestForPayment_CZ,case:Project,False,odd,-0.00028502770832608944,0.029841278656385865,1.0,9.0
BPI20_RequestForPayment_CZ,case:Project,False,random,0.0003192118235996506,0.026585493609309195,1.0,9.0
BPI20_RequestForPayment_CZ,case:Project,False,window,0.0006744836057935379,0.023544814926572153,0.0,9.0
BPI20_RequestForPayment_CZ,case:RequestedAmount,False,attr_level,-0.000708908773958703,-0.00020564259029926934,2.0,9.0
BPI20_RequestForPayment_CZ,case:RequestedAmount,False,even,0.0009349413216114266,0.0004147608764469707,2.0,9.0
BPI20_RequestForPayment_CZ,case:RequestedAmount,False,odd,0.0018251188099384225,-7.377611473201925e-05,0.0,9.0
BPI20_RequestForPayment_CZ,case:RequestedAmount,False,random,0.0034710136707872177,5.420530214910076e-06,2.0,9.0
BPI20_RequestForPayment_CZ,case:RequestedAmount,False,window,-0.0009915977716445645,-5.538007244468984e-05,2.0,9.0
BPI20_RequestForPayment_CZ,case:RfpNumber,False,attr_level,-0.005759877817971382,-0.08273974333424122,2.0,9.0
BPI20_RequestForPayment_CZ,case:RfpNumber,False,even,-0.0013914712837764004,-0.01201336274389177,4.0,9.0
BPI20_RequestForPayment_CZ,case:RfpNumber,False,odd,-0.003783035278320341,-0.004981742100790143,2.0,9.0
BPI20_RequestForPayment_CZ,case:RfpNumber,False,random,-0.005923605816704909,-0.07849133452400568,4.0,9.0
BPI20_RequestForPayment_CZ,case:RfpNumber,False,window,-0.00474266665322441,-0.01795306734275072,2.0,9.0
BPI20_RequestForPayment_CZ,case:Task,False,attr_level,0.0029188074171542927,0.0023223115829750984,1.0,9.0
BPI20_RequestForPayment_CZ,case:Task,False,even,6.871478898184957e-05,0.009070377680473037,2.0,9.0
BPI20_RequestForPayment_CZ,case:Task,False,odd,0.0004966327122279481,0.011524559045210494,0.0,9.0
BPI20_RequestForPayment_CZ,case:Task,False,random,-0.0023924946784973367,0.0051389159867540135,1.0,9.0
BPI20_RequestForPayment_CZ,case:Task,False,window,-0.001880655969892239,-9.449312929061702e-05,1.0,9.0
BPI20_RequestForPayment_CZ,org:resource,False,attr_level,0.007747273732508913,0.0006219092290848404,1.0,9.0
BPI20_RequestForPayment_CZ,org:resource,False,even,0.0021919897624424717,0.02335614364128559,0.0,9.0
BPI20_RequestForPayment_CZ,org:resource,False,odd,-0.0002979823521205611,0.023634093673899785,0.0,9.0
BPI20_RequestForPayment_CZ,org:resource,False,random,-0.0035040880952562797,0.003835518867708747,1.0,9.0
BPI20_RequestForPayment_CZ,org:resource,False,window,-0.0003797769546508884,0.005441212607547657,1.0,9.0
BPI20_RequestForPayment_CZ,org:role,False,attr_level,0.003010092303156839,0.0005538639612495937,1.0,9.0
BPI20_RequestForPayment_CZ,org:role,False,even,-0.0005840735776083683,0.01601010458543897,2.0,9.0
BPI20_RequestForPayment_CZ,org:role,False,odd,-0.0013646594115666202,0.017933051008731132,1.0,9.0
BPI20_RequestForPayment_CZ,org:role,False,random,-0.008439178977693846,-0.0009550170041620794,1.0,9.0
BPI20_RequestForPayment_CZ,org:role,False,window,-0.0011909842491149966,-0.002165000163950001,1.0,9.0
BPI20_RequestForPayment_CZ,time:timestamp,False,attr_level,-0.0007760749664157945,-0.15176606476306914,3.0,9.0
BPI20_RequestForPayment_CZ,time:timestamp,False,even,0.0009319365024566956,-0.010064993053674712,2.0,9.0
BPI20_RequestForPayment_CZ,time:timestamp,False,odd,0.00023050233721731705,0.0014826234430074664,1.0,9.0
BPI20_RequestForPayment_CZ,time:timestamp,False,random,0.0012082614004611941,-0.14479730352759362,3.0,9.0
BPI20_RequestForPayment_CZ,time:timestamp,False,window,-6.380155682565725e-05,-0.01982350163161753,2.0,9.0
