log,excluded_feature,structural,delta_cat,delta_num,n_significant,n_comparisons,rank
BPI20_RequestForPayment_CZ,org:resource,False,0.001151483218584731,0.011377775603905325,3.0,45.0,1
BPI20_RequestForPayment_CZ,case:Activity,False,0.0009074865281581853,0.009985413197427987,2.0,45.0,2
BPI20_RequestForPayment_CZ,case:RequestedAmount,False,0.0009061134513467598,1.7076525837180467e-05,8.0,45.0,3
BPI20_RequestForPayment_CZ,case:Project,False,0.0004235262530190577,0.025132496017031387,4.0,45.0,4
BPI20_RequestForPayment_CZ,time:timestamp,False,0.000306164743378751,-0.0649938479065895,11.0,45.0,5
BPI20_RequestForPayment_CZ,case:Task,False,-0.0001577991460050971,0.005592334233224405,5.0,45.0,6
BPI20_RequestForPayment_CZ,case:OrganizationalEntity,False,-0.00031122771756990163,0.02113889139611274,10.0,45.0,7
BPI20_RequestForPayment_CZ,org:role,False,-0.0017137607825653985,0.006275400477461524,6.0,45.0,8
BPI20_RequestForPayment_CZ,case:RfpNumber,False,-0.004320131369999489,-0.03923585000913591,14.0,45.0,9
BPI20_RequestForPayment_CZ,Activity,True,0.007984905551586836,0.013145006033591932,16.0,45.0,
bpi_2012_CZ,concept:name,False,0.0073177973429362055,-0.002799523607827721,5.0,25.0,1
bpi_2012_CZ,lifecycle:transition,False,0.00545323769251506,0.00042824495583772737,5.0,25.0,2
bpi_2012_CZ,org:resource,False,0.004880507389704388,0.0007199974311515743,6.0,25.0,3
bpi_2012_CZ,time:timestamp,False,-0.003494861721992498,-0.0013816043362021469,5.0,25.0,4
bpi_2012_CZ,(case) AMOUNT_REQ,False,-0.009178243875503556,-0.005466696908697485,23.0,25.0,5
bpi_2012_CZ,Activity,True,0.09578379193941751,-0.00329176661558449,20.0,25.0,
bpi_2013_CZ,time:timestamp,False,0.0215642511844635,,14.0,55.0,1
bpi_2013_CZ,org:role,False,0.017128455489873896,0.00241169170476496,12.0,55.0,2
bpi_2013_CZ,resource country,False,0.016147754520177842,0.0033642199262976626,12.0,55.0,3
bpi_2013_CZ,impact,False,0.013887927114963524,-0.0011235145479440752,12.0,55.0,4
bpi_2013_CZ,lifecycle:transition,False,0.013513085454702384,-0.002058095894753939,14.0,55.0,5
bpi_2013_CZ,org:resource,False,0.01238739457726479,-0.00129003491252661,11.0,55.0,6
bpi_2013_CZ,concept:name,False,0.010104628190398214,-0.0025604425929486785,8.0,55.0,7
bpi_2013_CZ,organization country,False,0.00792958529293537,-0.0042271954566240385,6.0,55.0,8
bpi_2013_CZ,org:group,False,0.006751785293221473,-0.0006065091118216605,2.0,55.0,9
bpi_2013_CZ,product,False,0.004076366677880291,-0.0022603671811521077,4.0,55.0,10
bpi_2013_CZ,organization involved,False,0.003965064540505409,-0.0017930425330996542,1.0,55.0,11
bpi_2013_CZ,Activity,True,0.024171118393540386,-0.006365883322432646,22.0,55.0,
sp2020_CZ,org:resource,False,0.009988759756088261,-0.0008581075817346562,8.0,20.0,1
sp2020_CZ,time:timestamp,False,-0.001443624794483167,,3.0,20.0,2
sp2020_CZ,REPAIR_IN_TIME_5D,False,-0.0017053608099619534,-0.0006856619752943615,2.0,20.0,3
sp2020_CZ,DEVICETYPE,False,-0.0032133742173512834,-0.0008885635621845682,5.0,20.0,4
sp2020_CZ,Activity,True,-0.0009351515769958407,0.0003058576770126834,7.0,20.0,
