CaseID,Activity,org:resource,time:timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
1,,,,0.0,,
1,A_PARTLYSUBMITTED-COMPLETE,Value 1,-1.096613954789262,9.903487552536127,A_PARTLYSUBMITTED,COMPLETE
1,,,,0.0,,
1,W_Completeren aanvraag-SCHEDULE,Value 1,3.9950581542866437,9.903487552536127,W_Completeren aanvraag,SCHEDULE
1,,,,0.0,,
1,A_ACCEPTED-COMPLETE,Value 3,10.592595636920636,9.903487552536127,A_ACCEPTED,COMPLETE
1,,,,0.0,,
1,A_FINALIZED-COMPLETE,Value 3,10.596252084896255,9.903487552536127,A_FINALIZED,COMPLETE
1,,,,0.0,,
1,O_SENT-COMPLETE,Value 3,10.596305528917089,9.903487552536127,O_SENT,COMPLETE
1,,,,0.0,,
1,W_Completeren aanvraag-COMPLETE,Value 2,10.596368972786218,9.903487552536127,W_Completeren aanvraag,COMPLETE
1,,,,0.0,,
1,W_Nabellen offertes-COMPLETE,Value 2,10.643145587325865,9.903487552536127,W_Nabellen offertes,COMPLETE
1,,,,0.0,,
1,W_Nabellen offertes-COMPLETE,Value 4,13.403015306202827,9.903487552536127,W_Nabellen offertes,COMPLETE
1,,,,0.0,,
1,O_SENT_BACK-COMPLETE,Value 5,13.613221925681252,9.903487552536127,O_SENT_BACK,COMPLETE
1,,,,0.0,,
1,W_Nabellen offertes-COMPLETE,Value 5,13.613224524657122,9.903487552536127,W_Nabellen offertes,COMPLETE
1,,,,0.0,,
1,A_REGISTERED-COMPLETE,Value 6,13.885712399685511,9.903487552536127,A_REGISTERED,COMPLETE
1,,,,0.0,,
1,O_ACCEPTED-COMPLETE,Value 6,13.885712399685511,9.903487552536127,O_ACCEPTED,COMPLETE
1,,,,0.0,,
1,W_Valideren aanvraag-COMPLETE,Value 6,13.885719670863047,9.903487552536127,W_Valideren aanvraag,COMPLETE
2,,,,0.0,,
2,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.204245598103519,8.517193191416238,A_PARTLYSUBMITTED,COMPLETE
2,,,,0.0,,
2,W_Completeren aanvraag-SCHEDULE,Value 1,10.206367253773012,8.517193191416238,W_Completeren aanvraag,SCHEDULE
2,,,,0.0,,
2,W_Completeren aanvraag-COMPLETE,Value 2,10.593345128273567,8.517193191416238,W_Completeren aanvraag,COMPLETE
2,,,,0.0,,
