CaseID,Activity,org:resource,time:timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
1,A_SUBMITTED-COMPLETE,Value 1,0.0,9.903487552536127,A_SUBMITTED,COMPLETE
1,,,,0.0,,
1,A_PREACCEPTED-COMPLETE,Value 1,3.977061399641398,9.903487552536127,A_PREACCEPTED,COMPLETE
1,,,,0.0,,
1,W_Completeren aanvraag-START,Value 2,10.583597390070889,9.903487552536127,W_Completeren aanvraag,START
1,,,,0.0,,
1,O_SELECTED-COMPLETE,Value 3,10.596252084896255,9.903487552536127,O_SELECTED,COMPLETE
1,,,,0.0,,
1,O_CREATED-COMPLETE,Value 3,10.596300952398066,9.903487552536127,O_CREATED,COMPLETE
1,,,,0.0,,
1,W_Nabellen offertes-SCHEDULE,Value 2,10.596309880334553,9.903487552536127,W_Nabellen offertes,SCHEDULE
1,,,,0.0,,
1,W_Nabellen offertes-START,Value 2,10.641052112466113,9.903487552536127,W_Nabellen offertes,START
1,,,,0.0,,
1,W_Nabellen offertes-START,Value 4,13.402557244093874,9.903487552536127,W_Nabellen offertes,START
1,,,,0.0,,
1,W_Nabellen offertes-START,Value 5,13.613171520370633,9.903487552536127,W_Nabellen offertes,START
1,,,,0.0,,
1,W_Valideren aanvraag-SCHEDULE,Value 5,13.613223017668167,9.903487552536127,W_Valideren aanvraag,SCHEDULE
1,,,,0.0,,
1,W_Valideren aanvraag-START,Value 6,13.883918812329219,9.903487552536127,W_Valideren aanvraag,START
1,,,,0.0,,
1,A_APPROVED-COMPLETE,Value 6,13.885712399685511,9.903487552536127,A_APPROVED,COMPLETE
1,,,,0.0,,
1,A_ACTIVATED-COMPLETE,Value 6,13.885712399685511,9.903487552536127,A_ACTIVATED,COMPLETE
1,,,,0.0,,
2,A_SUBMITTED-COMPLETE,Value 1,10.204099793890146,8.517193191416238,A_SUBMITTED,COMPLETE
2,,,,0.0,,
2,A_PREACCEPTED-COMPLETE,Value 1,10.206259030129278,8.517193191416238,A_PREACCEPTED,COMPLETE
2,,,,0.0,,
2,W_Completeren aanvraag-START,Value 2,10.584760689841199,8.517193191416238,W_Completeren aanvraag,START
2,,,,0.0,,
2,W_Completeren aanvraag-START,Value 2,10.814830645004985,8.517193191416238,W_Completeren aanvraag,START
2,,,,0.0,,
2,A_FINALIZED-COMPLETE,Value 3,10.824197903490443,8.517193191416238,A_FINALIZED,COMPLETE
