CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,,,,,
1,Letter,18.79839651594729,0.0,AB52,E
1,,,,,
1,StockEntry,18.80547787325571,0.0,AB52,E
1,,,,,
1,NoteWorkshop,18.805664602552376,0.0,AB52,E
1,,,,,
2,,,,,
2,NoteHotline,18.79700743517801,0.0,AB41,E
2,,,,,
2,DeviceReceived,18.800499073732112,0.0,AB41,E
2,,,,,
2,StockEntry,18.80606572906598,0.0,AB41,E
2,,,,,
2,NoteWorkshop,18.80631606839562,0.0,AB41,E
2,,,,,
3,,,,,
3,Letter,18.806653239504815,0.0,AB47,G
3,,,,,
3,NoteWorkshop,18.809813177110296,0.0,AB47,G
3,,,,,
3,Completed,18.81045971199286,0.0,AB47,G
4,,,,,
4,NoteHotline,18.88866655752665,0.0,AB22,J
4,,,,,
4,InDelivery,18.89591082273551,0.0,AB22,J
4,,,,,
4,Completed,18.896166394423943,0.0,AB22,J
5,,,,,
5,Letter,18.891604081386838,1.0,AB49,E
5,,,,,
5,NoteHotline,18.89183567269842,1.0,AB49,E
5,,,,,
5,InDelivery,18.89268250684879,1.0,AB49,E
5,,,,,
5,Completed,18.89286137056881,1.0,AB49,E
6,,,,,
6,Letter,18.89214343949299,0.0,AB62,L
6,,,,,
6,InDelivery,18.895373493320236,0.0,AB62,L
6,,,,,
6,Approved,18.895620887287862,0.0,AB62,L
6,,,,,
6,Completed,18.895633947570488,0.0,AB62,L
7,,,,,
7,NoteHotline,18.888727779065583,0.0,AB62,L
7,,,,,
7,NoteWorkshop,18.89128672299903,0.0,AB62,L
7,,,,,
7,Completed,18.90841877249822,0.0,AB62,L
8,,,,,
8,NoteHotline,18.888746853668785,0.0,AB29,E
8,,,,,
8,StockEntry,18.898593147482217,0.0,AB29,E
8,,,,,
8,NoteWorkshop,18.898885489423435,0.0,AB29,E
8,,,,,
9,,,,,
9,NoteHotline,18.88858115047499,1.0,AB63,G
9,,,,,
9,InDelivery,18.891604081386838,1.0,AB63,G
9,,,,,
9,NoteWorkshop,18.89186223549587,1.0,AB63,G
9,,,,,
10,,,,,
10,DeviceReceived,18.80631766643774,0.0,AB52,L
10,,,,,
10,Transmission,18.813429311842263,0.0,AB52,L
10,,,,,
10,Approved,18.814064492110266,0.0,AB52,L
10,,,,,
10,Completed,18.81407890508839,0.0,AB52,L
11,,,,,
11,NoteHotline,18.888563845217007,1.0,AB20,G
11,,,,,
11,InDelivery,18.89106443221652,1.0,AB20,G
11,,,,,
