CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,Creation,18.796955996683053,0.0,AB52,E
1,,,,,
1,DeviceReceived,18.798809974955827,0.0,AB52,E
1,,,,,
1,InDelivery,18.80547787325571,0.0,AB52,E
1,,,,,
1,Completed,18.805712458272986,0.0,AB52,E
2,Creation,18.79700707139757,0.0,AB41,E
2,,,,,
2,Letter,18.800171561972345,0.0,AB41,E
2,,,,,
2,StatusRequest,18.805821953726205,0.0,AB41,E
2,,,,,
2,InDelivery,18.80606572906598,0.0,AB41,E
2,,,,,
2,Completed,18.806316449205887,0.0,AB41,E
3,Creation,18.80519070526883,0.0,AB47,G
3,,,,,
3,DeviceReceived,18.80696353553184,0.0,AB47,G
3,,,,,
3,InDelivery,18.8101710720003,0.0,AB47,G
3,,,,,
4,Creation,18.8886654740921,0.0,AB22,J
4,,,,,
4,DeviceReceived,18.890379776813333,0.0,AB22,J
4,,,,,
4,NoteWorkshop,18.896160818807893,0.0,AB22,J
4,,,,,
5,Creation,18.888678343715714,1.0,AB49,E
5,,,,,
5,DeviceReceived,18.89183507338862,1.0,AB49,E
5,,,,,
5,StockEntry,18.89268250684879,1.0,AB49,E
5,,,,,
5,NoteWorkshop,18.892861052511922,1.0,AB49,E
5,,,,,
6,Creation,18.88871773438108,0.0,AB62,L
6,,,,,
6,DeviceReceived,18.892447430598626,0.0,AB62,L
6,,,,,
6,Transmission,18.895568414328284,0.0,AB62,L
6,,,,,
6,NoteHotline,18.89562098679542,0.0,AB62,L
6,,,,,
7,Creation,18.888721999000726,0.0,AB62,L
7,,,,,
7,DeviceReceived,18.89020671538777,0.0,AB62,L
7,,,,,
7,InDelivery,18.908190376300105,0.0,AB62,L
7,,,,,
8,Creation,18.888741524589417,0.0,AB29,E
8,,,,,
8,DeviceReceived,18.891867073532257,0.0,AB29,E
8,,,,,
8,InDelivery,18.898593147482217,0.0,AB29,E
8,,,,,
8,Completed,18.898902858737863,0.0,AB29,E
9,Creation,18.888560318991267,1.0,AB63,G
9,,,,,
9,Letter,18.891604081386838,1.0,AB63,G
9,,,,,
9,DeviceReceived,18.891846828535016,1.0,AB63,G
9,,,,,
9,Completed,18.891864102044295,1.0,AB63,G
10,Creation,18.805196893577744,0.0,AB52,L
10,,,,,
10,Letter,18.80899983564671,0.0,AB52,L
10,,,,,
10,InDelivery,18.813676572718773,0.0,AB52,L
10,,,,,
10,NoteHotline,18.814064606821116,0.0,AB52,L
10,,,,,
11,Creation,18.888563018465373,1.0,AB20,G
11,,,,,
11,Letter,18.89106443221652,1.0,AB20,G
11,,,,,
11,DeviceReceived,18.89138372234647,1.0,AB20,G
11,,,,,
11,Completed,18.891415293510757,1.0,AB20,G
12,Creation,18.888613480379004,0.0,AB62,E
12,,,,,
12,DeviceReceived,18.893488145203325,0.0,AB62,E
12,,,,,
12,Approved,18.899949271176016,0.0,AB62,E
12,,,,,
12,NoteWorkshop,18.89996527830317,0.0,AB62,E
12,,,,,
12,InDelivery,18.907128554723393,0.0,AB62,E
12,,,,,
13,Creation,18.888631292068638,1.0,AB49,E
13,,,,,
13,DeviceReceived,18.891342637744447,1.0,AB49,E
13,,,,,
13,NoteWorkshop,18.891792215564074,1.0,AB49,E
13,,,,,
14,Creation,18.88855205141502,1.0,AB53,G
14,,,,,
14,InDelivery,18.888902918599705,1.0,AB53,G
14,,,,,
14,NoteWorkshop,18.88921247173242,1.0,AB53,G
14,,,,,
15,Creation,18.888768495325596,0.0,AB50,L
15,,,,,
15,DeviceReceived,18.889712156999053,0.0,AB50,L
15,,,,,
15,InDelivery,18.909780997656448,0.0,AB50,L
15,,,,,
16,Creation,18.888574749506034,0.0,AB50,L
16,,,,,
16,NoteWorkshop,18.889700020131546,0.0,AB50,L
16,,,,,
16,InDelivery,18.908190376300105,0.0,AB50,L
16,,,,,
17,Creation,18.888574749506034,0.0,AB44,L
17,,,,,
17,DeviceReceived,18.889713351909485,0.0,AB44,L
17,,,,,
17,Completed,18.89282345872249,0.0,AB44,L
18,Creation,18.888695039535353,0.0,AB45,E
18,,,,,
18,DeviceReceived,18.889711894243685,0.0,AB45,E
18,,,,,
18,InDelivery,18.89591082273551,0.0,AB45,E
18,,,,,
19,Letter,18.80488967166771,0.0,AB36,
19,,,,,
19,DeviceReceived,18.805161934916153,0.0,AB36,
19,,,,,
19,InDelivery,18.80841370264494,0.0,AB36,
19,,,,,
19,Completed,18.808754854845457,0.0,AB36,
20,Creation,18.88910908307989,0.0,AB61,E
20,,,,,
