CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,Creation,18.796955996683053,0.0,AB52,E
1,Letter,18.79839651594729,0.0,AB52,E
1,,,,,
1,StockEntry,18.80547787325571,0.0,AB52,E
1,InDelivery,18.80547787325571,0.0,AB52,E
1,NoteWorkshop,18.805664602552376,0.0,AB52,E
1,Completed,18.805712458272986,0.0,AB52,E
2,Creation,18.79700707139757,0.0,AB41,E
2,,,,,
2,,,,,
2,DeviceReceived,18.800499073732112,0.0,AB41,E
2,,,,,
2,StockEntry,18.80606572906598,0.0,AB41,E
2,,,,,
2,NoteWorkshop,18.80631606839562,0.0,AB41,E
2,Completed,18.806316449205887,0.0,AB41,E
3,Creation,18.80519070526883,0.0,AB47,G
3,Letter,18.806653239504815,0.0,AB47,G
3,,,,,
3,,,,,
3,,,,,
3,Completed,18.81045971199286,0.0,AB47,G
4,Creation,18.8886654740921,0.0,AB22,J
4,NoteHotline,18.88866655752665,0.0,AB22,J
4,DeviceReceived,18.890379776813333,0.0,AB22,J
4,InDelivery,18.89591082273551,0.0,AB22,J
4,NoteWorkshop,18.896160818807893,0.0,AB22,J
4,,,,,
5,,,,,
5,Letter,18.891604081386838,1.0,AB49,E
5,,,,,
5,NoteHotline,18.89183567269842,1.0,AB49,E
5,StockEntry,18.89268250684879,1.0,AB49,E
5,InDelivery,18.89268250684879,1.0,AB49,E
5,NoteWorkshop,18.892861052511922,1.0,AB49,E
5,Completed,18.89286137056881,1.0,AB49,E
6,,,,,
6,Letter,18.89214343949299,0.0,AB62,L
6,,,,,
6,,,,,
6,Transmission,18.895568414328284,0.0,AB62,L
6,Approved,18.895620887287862,0.0,AB62,L
6,NoteHotline,18.89562098679542,0.0,AB62,L
6,Completed,18.895633947570488,0.0,AB62,L
7,,,,,
7,NoteHotline,18.888727779065583,0.0,AB62,L
7,DeviceReceived,18.89020671538777,0.0,AB62,L
7,NoteWorkshop,18.89128672299903,0.0,AB62,L
7,,,,,
7,,,,,
8,Creation,18.888741524589417,0.0,AB29,E
8,NoteHotline,18.888746853668785,0.0,AB29,E
8,,,,,
8,StockEntry,18.898593147482217,0.0,AB29,E
8,,,,,
8,NoteWorkshop,18.898885489423435,0.0,AB29,E
8,Completed,18.898902858737863,0.0,AB29,E
9,,,,,
9,,,,,
9,,,,,
9,InDelivery,18.891604081386838,1.0,AB63,G
9,DeviceReceived,18.891846828535016,1.0,AB63,G
9,,,,,
9,,,,,
10,Creation,18.805196893577744,0.0,AB52,L
10,DeviceReceived,18.80631766643774,0.0,AB52,L
10,Letter,18.80899983564671,0.0,AB52,L
10,Transmission,18.813429311842263,0.0,AB52,L
10,InDelivery,18.813676572718773,0.0,AB52,L
10,,,,,
10,,,,,
10,Completed,18.81407890508839,0.0,AB52,L
11,Creation,18.888563018465373,1.0,AB20,G
11,,,,,
11,Letter,18.89106443221652,1.0,AB20,G
11,,,,,
11,,,,,
11,,,,,
11,Completed,18.891415293510757,1.0,AB20,G
12,Creation,18.888613480379004,0.0,AB62,E
12,Letter,18.89322128376753,0.0,AB62,E
12,DeviceReceived,18.893488145203325,0.0,AB62,E
12,,,,,
12,,,,,
12,,,,,
12,NoteWorkshop,18.89996527830317,0.0,AB62,E
12,,,,,
12,InDelivery,18.907128554723393,0.0,AB62,E
12,Completed,18.907357507018126,0.0,AB62,E
13,Creation,18.888631292068638,1.0,AB49,E
13,,,,,
13,,,,,
13,,,,,
