CaseID,Activity,time:timestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource
1,Creation,18.796955996683053,0.0,AB52,E
1,,,,,
1,,,,,
1,StockEntry,18.80547787325571,0.0,AB52,E
1,,,,,
1,,,,,
1,Completed,18.805712458272986,0.0,AB52,E
2,Creation,18.79700707139757,0.0,AB41,E
2,,,,,
2,,,,,
2,DeviceReceived,18.800499073732112,0.0,AB41,E
2,,,,,
2,,,,,
2,InDelivery,18.80606572906598,0.0,AB41,E
2,,,,,
2,,,,,
3,Creation,18.80519070526883,0.0,AB47,G
3,,,,,
3,,,,,
3,NoteWorkshop,18.809813177110296,0.0,AB47,G
3,,,,,
3,,,,,
4,Creation,18.8886654740921,0.0,AB22,J
4,,,,,
4,,,,,
4,InDelivery,18.89591082273551,0.0,AB22,J
4,,,,,
4,,,,,
5,Creation,18.888678343715714,1.0,AB49,E
5,,,,,
5,,,,,
5,NoteHotline,18.89183567269842,1.0,AB49,E
5,,,,,
5,,,,,
5,NoteWorkshop,18.892861052511922,1.0,AB49,E
5,,,,,
6,Creation,18.88871773438108,0.0,AB62,L
6,,,,,
6,,,,,
6,InDelivery,18.895373493320236,0.0,AB62,L
6,,,,,
6,,,,,
6,NoteHotline,18.89562098679542,0.0,AB62,L
6,,,,,
7,Creation,18.888721999000726,0.0,AB62,L
7,,,,,
7,,,,,
7,NoteWorkshop,18.89128672299903,0.0,AB62,L
7,,,,,
7,,,,,
8,Creation,18.888741524589417,0.0,AB29,E
8,,,,,
8,,,,,
8,StockEntry,18.898593147482217,0.0,AB29,E
8,,,,,
8,,,,,
8,Completed,18.898902858737863,0.0,AB29,E
9,Creation,18.888560318991267,1.0,AB63,G
9,,,,,
9,,,,,
9,InDelivery,18.891604081386838,1.0,AB63,G
9,,,,,
9,,,,,
9,Completed,18.891864102044295,1.0,AB63,G
10,Creation,18.805196893577744,0.0,AB52,L
10,,,,,
10,,,,,
10,Transmission,18.813429311842263,0.0,AB52,L
10,,,,,
10,,,,,
10,NoteHotline,18.814064606821116,0.0,AB52,L
10,,,,,
11,Creation,18.888563018465373,1.0,AB20,G
11,,,,,
11,,,,,
11,InDelivery,18.89106443221652,1.0,AB20,G
11,,,,,
11,,,,,
11,Completed,18.891415293510757,1.0,AB20,G
12,Creation,18.888613480379004,0.0,AB62,E
12,,,,,
12,,,,,
12,Transmission,18.89939938070992,0.0,AB62,E
12,,,,,
12,,,,,
12,NoteWorkshop,18.89996527830317,0.0,AB62,E
12,,,,,
12,,,,,
12,Completed,18.907357507018126,0.0,AB62,E
13,Creation,18.888631292068638,1.0,AB49,E
13,,,,,
13,,,,,
13,InDelivery,18.891604081386838,1.0,AB49,E
13,,,,,
13,,,,,
14,Creation,18.88855205141502,1.0,AB53,G
14,,,,,
14,,,,,
14,DeviceReceived,18.889211601702385,1.0,AB53,G
14,,,,,
14,,,,,
15,Creation,18.888768495325596,0.0,AB50,L
15,,,,,
15,,,,,
15,NoteWorkshop,18.8924273408471,0.0,AB50,L
15,,,,,
15,,,,,
16,Creation,18.888574749506034,0.0,AB50,L
16,,,,,
16,,,,,
16,DeviceReceived,18.88970103362818,0.0,AB50,L
16,,,,,
16,,,,,
17,Creation,18.888574749506034,0.0,AB44,L
17,,,,,
17,,,,,
17,InDelivery,18.89268250684879,0.0,AB44,L
17,,,,,
18,Creation,18.888695039535353,0.0,AB45,E
18,,,,,
18,,,,,
18,StockEntry,18.89591082273551,0.0,AB45,E
18,,,,,
18,,,,,
19,Letter,18.80488967166771,0.0,AB36,
19,,,,,
19,,,,,
19,NoteHotline,18.805161955340267,0.0,AB36,
19,,,,,
19,,,,,
19,Completed,18.808754854845457,0.0,AB36,
20,Creation,18.88910908307989,0.0,AB61,E
20,,,,,
20,,,,,
20,NoteHotline,18.897245545305775,0.0,AB61,E
20,,,,,
20,,,,,
20,Completed,18.907331407972627,0.0,AB61,E
21,Creation,18.889118729467334,0.0,AB52,L
21,,,,,
21,,,,,
21,Transmission,18.90266869226238,0.0,AB52,L
21,,,,,
21,,,,,
21,NoteHotline,18.903057040102162,0.0,AB52,L
21,,,,,
22,Creation,18.889127812385635,0.0,AB62,E
22,,,,,
22,,,,,
22,NoteWorkshop,18.911087377829773,0.0,AB62,E
22,,,,,
22,,,,,
22,StockEntry,18.925027954039493,0.0,AB62,E
22,,,,,
22,,,,,
23,Creation,18.88913772775843,1.0,AB16,E
23,,,,,
23,,,,,
23,DeviceReceived,18.891349164675272,1.0,AB16,E
23,,,,,
23,,,,,
23,Completed,18.891789705842836,1.0,AB16,E
