CaseID,Activity,Resource,CompleteTimestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition,CumTimeInterval
1,A_SUBMITTED-COMPLETE,Value 1,2011-10-01 07:38:44.546,20000,A_SUBMITTED,COMPLETE,0.0
1,A_PARTLYSUBMITTED-COMPLETE,Value 1,2011-10-01 07:38:44.880,20000,A_PARTLYSUBMITTED,COMPLETE,0.334
1,A_PREACCEPTED-COMPLETE,Value 1,2011-10-01 07:39:37.906,20000,A_PREACCEPTED,COMPLETE,53.36
1,W_Completeren aanvraag-SCHEDULE,Value 1,2011-10-01 07:39:38.875,20000,W_Completeren aanvraag,SCHEDULE,54.329
1,W_Completeren aanvraag-START,Value 2,2011-10-01 18:36:46.437,20000,W_Completeren aanvraag,START,39481.891
1,A_ACCEPTED-COMPLETE,Value 3,2011-10-01 18:42:43.308,20000,A_ACCEPTED,COMPLETE,39838.762
1,O_SELECTED-COMPLETE,Value 3,2011-10-01 18:45:09.243,20000,O_SELECTED,COMPLETE,39984.697
1,A_FINALIZED-COMPLETE,Value 3,2011-10-01 18:45:09.243,20000,A_FINALIZED,COMPLETE,39984.697
1,O_CREATED-COMPLETE,Value 3,2011-10-01 18:45:11.197,20000,O_CREATED,COMPLETE,39986.651
1,O_SENT-COMPLETE,Value 3,2011-10-01 18:45:11.380,20000,O_SENT,COMPLETE,39986.834
1,W_Nabellen offertes-SCHEDULE,Value 2,2011-10-01 18:45:11.554,20000,W_Nabellen offertes,SCHEDULE,39987.008
1,W_Completeren aanvraag-COMPLETE,Value 2,2011-10-01 18:45:13.917,20000,W_Completeren aanvraag,COMPLETE,39989.371
1,W_Nabellen offertes-START,Value 2,2011-10-01 19:15:41.290,20000,W_Nabellen offertes,START,41816.744
1,W_Nabellen offertes-COMPLETE,Value 2,2011-10-01 19:17:08.924,20000,W_Nabellen offertes,COMPLETE,41904.378
1,W_Nabellen offertes-START,Value 4,2011-10-08 23:26:57.720,20000,W_Nabellen offertes,START,661693.174
