CaseID,Activity,Resource,CompleteTimestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition,CumTimeInterval
1,A_SUBMITTED-COMPLETE,Value 1,2011-10-01 07:38:44.546,20000.0,A_SUBMITTED,COMPLETE,0.0
1,,,,,,,
1,A_PREACCEPTED-COMPLETE,Value 1,2011-10-01 07:39:37.906,20000.0,A_PREACCEPTED,COMPLETE,53.36
1,,,,,,,
1,W_Completeren aanvraag-START,Value 2,2011-10-01 18:36:46.437,20000.0,W_Completeren aanvraag,START,39481.891
1,,,,,,,
1,O_SELECTED-COMPLETE,Value 3,2011-10-01 18:45:09.243,20000.0,O_SELECTED,COMPLETE,39984.697
1,,,,,,,
1,O_CREATED-COMPLETE,Value 3,2011-10-01 18:45:11.197,20000.0,O_CREATED,COMPLETE,39986.651
1,,,,,,,
1,W_Nabellen offertes-SCHEDULE,Value 2,2011-10-01 18:45:11.554,20000.0,W_Nabellen offertes,SCHEDULE,39987.008
1,,,,,,,
1,W_Nabellen offertes-START,Value 2,2011-10-01 19:15:41.290,20000.0,W_Nabellen offertes,START,41816.744
1,,,,,,,
1,W_Nabellen offertes-START,Value 4,2011-10-08 23:26:57.720,20000.0,W_Nabellen offertes,START,661693.174
1,,,,,,,
1,W_Nabellen offertes-START,Value 5,2011-10-10 18:32:22.495,20000.0,W_Nabellen offertes,START,816817.949
1,,,,,,,
1,W_Valideren aanvraag-SCHEDULE,Value 5,2011-10-10 18:33:04.560,20000.0,W_Valideren aanvraag,SCHEDULE,816860.014
1,,,,,,,
1,W_Valideren aanvraag-START,Value 6,2011-10-13 17:05:26.925,20000.0,W_Valideren aanvraag,START,1070802.379
1,,,,,,,
1,A_APPROVED-COMPLETE,Value 6,2011-10-13 17:37:29.226,20000.0,A_APPROVED,COMPLETE,1072724.68
1,,,,,,,
1,A_ACTIVATED-COMPLETE,Value 6,2011-10-13 17:37:29.226,20000.0,A_ACTIVATED,COMPLETE,1072724.68
1,,,,,,,
2,A_SUBMITTED-COMPLETE,Value 1,2011-10-01 15:08:58.256,5000.0,A_SUBMITTED,COMPLETE,27013.71
2,,,,,,,
2,A_PREACCEPTED-COMPLETE,Value 1,2011-10-01 15:09:56.648,5000.0,A_PREACCEPTED,COMPLETE,27072.102
2,,,,,,,
2,W_Completeren aanvraag-START,Value 2,2011-10-01 18:37:32.393,5000.0,W_Completeren aanvraag,START,39527.847
2,,,,,,,
2,W_Completeren aanvraag-START,Value 2,2011-10-01 21:27:57.775,5000.0,W_Completeren aanvraag,START,49753.229
2,,,,,,,
2,A_FINALIZED-COMPLETE,Value 3,2011-10-01 21:35:46.016,5000.0,A_FINALIZED,COMPLETE,50221.47
2,,,,,,,
2,O_CREATED-COMPLETE,Value 3,2011-10-01 21:35:47.488,5000.0,O_CREATED,COMPLETE,50222.942
2,,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,2011-10-01 21:35:47.682,5000.0,W_Nabellen offertes,SCHEDULE,50223.136
2,,,,,,,
2,W_Nabellen offertes-START,Value 2,2011-10-01 21:36:13.443,5000.0,W_Nabellen offertes,START,50248.897
2,,,,,,,
2,W_Nabellen offertes-START,Value 2,2011-10-03 23:54:43.257,5000.0,W_Nabellen offertes,START,231358.711
2,,,,,,,
2,O_CANCELLED-COMPLETE,Value 7,2011-10-03 23:56:17.731,5000.0,O_CANCELLED,COMPLETE,231453.185
2,,,,,,,
2,O_SENT-COMPLETE,Value 7,2011-10-03 23:56:19.645,5000.0,O_SENT,COMPLETE,231455.099
2,,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,2011-10-03 23:56:21.195,5000.0,W_Nabellen offertes,COMPLETE,231456.649
2,,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,2011-10-03 23:57:16.563,5000.0,W_Nabellen offertes,COMPLETE,231512.017
2,,,,,,,
