CaseID,Activity,Resource,CompleteTimestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition,CumTimeInterval
1,A_SUBMITTED-COMPLETE,Value 1,2011-10-01 07:38:44.546,20000.0,A_SUBMITTED,COMPLETE,0.0
1,,,,,,,
1,,,,,,,
1,W_Completeren aanvraag-SCHEDULE,Value 1,2011-10-01 07:39:38.875,20000.0,W_Completeren aanvraag,SCHEDULE,54.329
1,,,,,,,
1,,,,,,,
1,O_SELECTED-COMPLETE,Value 3,2011-10-01 18:45:09.243,20000.0,O_SELECTED,COMPLETE,39984.697
1,,,,,,,
1,,,,,,,
1,O_SENT-COMPLETE,Value 3,2011-10-01 18:45:11.380,20000.0,O_SENT,COMPLETE,39986.834
1,,,,,,,
1,,,,,,,
1,W_Nabellen offertes-START,Value 2,2011-10-01 19:15:41.290,20000.0,W_Nabellen offertes,START,41816.744
1,,,,,,,
1,,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 4,2011-10-08 23:32:00.886,20000.0,W_Nabellen offertes,COMPLETE,661996.34
1,,,,,,,
1,,,,,,,
1,W_Valideren aanvraag-SCHEDULE,Value 5,2011-10-10 18:33:04.560,20000.0,W_Valideren aanvraag,SCHEDULE,816860.014
1,,,,,,,
1,,,,,,,
1,A_REGISTERED-COMPLETE,Value 6,2011-10-13 17:37:29.226,20000.0,A_REGISTERED,COMPLETE,1072724.68
1,,,,,,,
1,,,,,,,
1,A_ACTIVATED-COMPLETE,Value 6,2011-10-13 17:37:29.226,20000.0,A_ACTIVATED,COMPLETE,1072724.68
1,,,,,,,
2,A_SUBMITTED-COMPLETE,Value 1,2011-10-01 15:08:58.256,5000.0,A_SUBMITTED,COMPLETE,27013.71
2,,,,,,,
2,,,,,,,
2,W_Completeren aanvraag-SCHEDULE,Value 1,2011-10-01 15:09:59.578,5000.0,W_Completeren aanvraag,SCHEDULE,27075.032
2,,,,,,,
2,,,,,,,
2,W_Completeren aanvraag-START,Value 2,2011-10-01 21:27:57.775,5000.0,W_Completeren aanvraag,START,49753.229
2,,,,,,,
2,,,,,,,
2,O_SELECTED-COMPLETE,Value 3,2011-10-01 21:35:46.016,5000.0,O_SELECTED,COMPLETE,50221.47
2,,,,,,,
2,,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,2011-10-01 21:35:47.682,5000.0,W_Nabellen offertes,SCHEDULE,50223.136
2,,,,,,,
2,,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,2011-10-01 21:36:25.794,5000.0,W_Nabellen offertes,COMPLETE,50261.248
2,,,,,,,
2,,,,,,,
2,O_CANCELLED-COMPLETE,Value 7,2011-10-03 23:56:17.731,5000.0,O_CANCELLED,COMPLETE,231453.185
2,,,,,,,
2,,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,2011-10-03 23:56:19.941,5000.0,W_Nabellen offertes,SCHEDULE,231455.395
2,,,,,,,
2,,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,2011-10-03 23:57:16.563,5000.0,W_Nabellen offertes,COMPLETE,231512.017
2,,,,,,,
2,,,,,,,
2,W_Valideren aanvraag-SCHEDULE,Value 5,2011-10-10 17:14:44.052,5000.0,W_Valideren aanvraag,SCHEDULE,812159.506
2,,,,,,,
2,,,,,,,
2,W_Valideren aanvraag-COMPLETE,Value 8,2011-10-10 18:30:54.893,5000.0,W_Valideren aanvraag,COMPLETE,816730.347
2,,,,,,,
2,,,,,,,
2,W_Valideren aanvraag-START,Value 8,2011-10-10 21:14:52.842,5000.0,W_Valideren aanvraag,START,826568.296
2,,,,,,,
2,,,,,,,
2,A_REGISTERED-COMPLETE,Value 8,2011-10-10 21:17:26.307,5000.0,A_REGISTERED,COMPLETE,826721.761
2,,,,,,,
2,,,,,,,
