CaseID,Activity,CompleteTimestamp,REPAIR_IN_TIME_5D,DEVICETYPE,org:resource,CumTimeInterval
1,Creation,2018-01-02 13:39:47,0.0,AB52,E,0.0
1,Letter,2018-01-05 00:00:00,0.0,AB52,E,210013.0
1,,,,,,
1,StockEntry,2018-01-17 00:00:00,0.0,AB52,E,1246813.0
1,InDelivery,2018-01-17 00:00:00,0.0,AB52,E,1246813.0
1,NoteWorkshop,2018-01-17 07:37:19,0.0,AB52,E,1274252.0
1,Completed,2018-01-17 09:34:32,0.0,AB52,E,1281285.0
2,Creation,2018-01-02 15:43:48,0.0,AB41,E,7441.0
2,,,,,,
2,,,,,,
2,DeviceReceived,2018-01-08 13:17:55,0.0,AB41,E,517088.0
2,,,,,,
2,StockEntry,2018-01-18 00:00:00,0.0,AB41,E,1333213.0
2,,,,,,
2,NoteWorkshop,2018-01-18 10:13:29,0.0,AB41,E,1370022.0
2,Completed,2018-01-18 10:14:25,0.0,AB41,E,1370078.0
3,Creation,2018-01-16 12:16:52,0.0,AB47,G,1204625.0
3,Letter,2018-01-19 00:00:00,0.0,AB47,G,1419613.0
3,,,,,,
3,,,,,,
3,,,,,,
3,Completed,2018-01-25 11:50:16,0.0,AB47,G,1980629.0
4,Creation,2018-06-13 13:28:01,0.0,AB22,J,13996094.0
4,NoteHotline,2018-06-13 13:30:54,0.0,AB22,J,13996267.0
4,DeviceReceived,2018-06-16 17:34:11,0.0,AB22,J,14270064.0
4,InDelivery,2018-06-27 00:00:00,0.0,AB22,J,15157213.0
4,NoteWorkshop,2018-06-27 11:10:14,0.0,AB22,J,15197427.0
4,,,,,,
5,,,,,,
5,Letter,2018-06-19 00:00:00,1.0,AB49,E,14466013.0
5,,,,,,
5,NoteHotline,2018-06-19 10:18:13,1.0,AB49,E,14503106.0
5,StockEntry,2018-06-21 00:00:00,1.0,AB49,E,14638813.0
5,InDelivery,2018-06-21 00:00:00,1.0,AB49,E,14638813.0
5,NoteWorkshop,2018-06-21 07:57:07,1.0,AB49,E,14667440.0
5,Completed,2018-06-21 07:57:58,1.0,AB49,E,14667491.0
6,,,,,,
6,Letter,2018-06-20 00:00:00,0.0,AB62,L,14552413.0
6,,,,,,
6,,,,,,
6,Transmission,2018-06-26 08:42:17,0.0,AB62,L,15102150.0
6,Approved,2018-06-26 11:02:54,0.0,AB62,L,15110587.0
6,NoteHotline,2018-06-26 11:03:10,0.0,AB62,L,15110603.0
6,Completed,2018-06-26 11:37:54,0.0,AB62,L,15112687.0
7,,,,,,
7,NoteHotline,2018-06-13 16:13:50,0.0,AB62,L,14006043.0
7,DeviceReceived,2018-06-16 09:52:52,0.0,AB62,L,14242385.0
7,NoteWorkshop,2018-06-18 09:53:04,0.0,AB62,L,14415197.0
7,,,,,,
7,,,,,,
8,Creation,2018-06-13 16:50:25,0.0,AB29,E,14008238.0
8,NoteHotline,2018-06-13 17:04:36,0.0,AB29,E,14009089.0
8,,,,,,
8,StockEntry,2018-07-02 00:00:00,0.0,AB29,E,15589213.0
8,,,,,,
8,NoteWorkshop,2018-07-02 13:05:53,0.0,AB29,E,15636366.0
8,Completed,2018-07-02 13:52:35,0.0,AB29,E,15639168.0
9,,,,,,
9,,,,,,
9,,,,,,
9,InDelivery,2018-06-19 00:00:00,1.0,AB63,G,14466013.0
9,DeviceReceived,2018-06-19 10:48:00,1.0,AB63,G,14504893.0
9,,,,,,
9,,,,,,
10,Creation,2018-01-16 12:32:01,0.0,AB52,L,1205534.0
10,DeviceReceived,2018-01-18 10:17:24,0.0,AB52,L,1370257.0
10,Letter,2018-01-23 00:00:00,0.0,AB52,L,1765213.0
10,Transmission,2018-01-30 13:49:35,0.0,AB52,L,2419788.0
10,InDelivery,2018-01-31 00:00:00,0.0,AB52,L,2456413.0
10,,,,,,
10,,,,,,
10,Completed,2018-01-31 16:33:34,0.0,AB52,L,2516027.0
11,Creation,2018-06-13 08:55:22,1.0,AB20,G,13979735.0
11,,,,,,
11,Letter,2018-06-18 00:00:00,1.0,AB20,G,14379613.0
11,,,,,,
11,,,,,,
11,,,,,,
11,Completed,2018-06-18 15:36:09,1.0,AB20,G,14435782.0
12,Creation,2018-06-13 11:09:39,0.0,AB62,E,13987792.0
12,Letter,2018-06-22 00:00:00,0.0,AB62,E,14725213.0
12,DeviceReceived,2018-06-22 11:53:32,0.0,AB62,E,14768025.0
12,,,,,,
12,,,,,,
12,,,,,,
12,NoteWorkshop,2018-07-04 13:30:36,0.0,AB62,E,15810649.0
12,,,,,,
12,InDelivery,2018-07-18 00:00:00,0.0,AB62,E,16971613.0
12,Completed,2018-07-18 10:20:44,0.0,AB62,E,17008857.0
13,Creation,2018-06-13 11:57:03,1.0,AB49,E,13990636.0
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,Letter,2018-06-14 00:00:00,1.0,AB53,G,14034013.0
14,,,,,,
14,,,,,,
14,,,,,,
14,Completed,2018-06-14 14:28:24,1.0,AB53,G,14086117.0
15,,,,,,
15,,,,,,
15,DeviceReceived,2018-06-15 11:55:00,0.0,AB50,L,14163313.0
15,NoteWorkshop,2018-06-20 12:38:17,0.0,AB50,L,14597910.0
15,InDelivery,2018-07-23 00:00:00,0.0,AB50,L,17403613.0
15,Completed,2018-07-23 08:19:44,0.0,AB50,L,17433597.0
16,Creation,2018-06-13 09:26:35,0.0,AB50,L,13981608.0
16,,,,,,
16,NoteWorkshop,2018-06-15 11:22:40,0.0,AB50,L,14161373.0
16,,,,,,
16,,,,,,
16,Completed,2018-07-20 08:32:42,0.0,AB50,L,17175175.0
17,Creation,2018-06-13 09:26:35,0.0,AB44,L,13981608.0
17,,,,,,
17,DeviceReceived,2018-06-15 11:58:11,0.0,AB44,L,14163504.0
17,,,,,,
17,,,,,,
18,,,,,,
18,Letter,2018-06-15 00:00:00,0.0,AB45,E,14120413.0
18,,,,,,
18,,,,,,
18,,,,,,
18,Completed,2018-06-27 09:49:22,0.0,AB45,E,15192575.0
19,,,,,,
19,,,,,,
19,,,,,,
19,,,,,,
19,InDelivery,2018-01-22 00:00:00,0.0,AB36,,1678813.0
19,,,,,,
19,Completed,2018-01-22 13:58:02,0.0,AB36,,1729095.0
20,,,,,,
20,DeviceReceived,2018-06-20 12:42:13,0.0,AB61,E,14598146.0
20,,,,,,
20,NoteHotline,2018-06-29 11:40:18,0.0,AB61,E,15372031.0
20,,,,,,
20,,,,,,
20,,,,,,
21,Creation,2018-06-14 09:34:32,0.0,AB52,L,14068485.0
21,,,,,,
21,,,,,,
21,Transmission,2018-07-09 14:56:46,0.0,AB52,L,16247819.0
