,mean,std
org:resource_acc,0.9511303603649139,0.02524954880579269
org:role_acc,0.8363396048545837,0.009017421214077394
case:Project_acc,0.6081048667430877,0.007887574362842825
case:Task_acc,0.7539682388305664,0.0
case:OrganizationalEntity_acc,0.6361231505870819,0.007868603364899108
case:Activity_acc,0.9215969443321228,0.0
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.00759144896556708,0.00023308428363570202
case:RequestedAmount_mae,0.4238624196160924,0.020324984751039107
AVG_total_loss,14.42088830481622,0.049049426475395376
MAE_time:timestamp,0.007340328814461827,0.00025683720512137534
MAE_case:RequestedAmount,0.423709961771965,0.020369673952360837
