,mean,std
org:resource_acc,0.7763301193714142,0.023676082352664014
org:role_acc,0.9629383563995362,0.013907280290972997
case:Project_acc,0.837545371055603,0.026005479353384812
case:Task_acc,0.75,0.0
case:OrganizationalEntity_acc,0.8770556449890137,0.024144320101218503
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.008613023212687535,0.00012312724047457526
case:RequestedAmount_mae,9.864869046211243,4.152400505597218
AVG_total_loss,21.994076179848477,4.136350883156408
MAE_time:timestamp,0.00837922329083085,0.00013465550800300912
MAE_case:RequestedAmount,9.89844036102295,4.174708442243036
