,mean,std
org:resource_acc,0.9022347390651703,0.008628620501203325
org:role_acc,0.9050618886947632,0.009506946920217235
case:Project_acc,0.8340872049331665,0.028696249068063544
case:Task_acc,0.752896785736084,0.0
case:OrganizationalEntity_acc,0.8566504776477813,0.01993884445720494
case:Activity_acc,0.976090407371521,0.015258008348863341
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.00799389613622969,0.00017032370346774735
case:RequestedAmount_mae,0.29708674008196045,0.01572507849385896
AVG_total_loss,12.48900848818435,0.12401283125088151
MAE_time:timestamp,0.007757373247295618,0.00018814171211475279
MAE_case:RequestedAmount,0.2972580552101135,0.015769526301532524
