,mean,std
org:resource_acc,0.9377286195755005,0.061086772633400906
org:role_acc,0.9887281894683838,0.005483934273024163
case:Project_acc,0.9032539248466491,0.03170481015319379
case:Task_acc,0.7526584267616272,0.0
case:OrganizationalEntity_acc,0.9368991851806641,0.01760631832729171
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.008893995435739106,0.00011211301418889001
case:RequestedAmount_mae,0.10977627045728944,0.025776405367002403
AVG_total_loss,11.350677243865688,0.10042555940575026
MAE_time:timestamp,0.008626982476562262,0.00010526488909851198
MAE_case:RequestedAmount,0.11006336882710457,0.025809557237533365
