,mean,std
org:resource_acc,0.9662013590335846,0.009456234422438077
Activity_acc,0.8079037427902221,0.006057509146467202
org:role_acc,0.8912513732910157,0.010235572381588393
case:Project_acc,0.45275168120861053,0.10593840760239737
case:Task_acc,0.7585880160331726,0.0002921581396398432
case:OrganizationalEntity_acc,0.5081016153097153,0.09890213940284878
case:RfpNumber_acc,0.038687970489263535,0.0
time:timestamp_mae,0.007728961182080887,0.0017540031656756057
case:RequestedAmount_mae,102.10149889859287,9.345419128145272
AVG_total_loss,117.62443068451248,9.208975920334789
MAE_time:timestamp,0.007609911682084203,0.0017652783913124413
MAE_case:RequestedAmount,102.02432250976562,9.445603853338584
