,mean,std
org:resource_acc,0.9994709014892578,0.0007672492892822622
Activity_acc,0.8768398404121399,0.000525068216053368
org:role_acc,0.8881433308124542,0.0001365216056237877
case:Project_acc,0.614357876777649,0.025806532697568555
case:Task_acc,0.7549302577972412,0.0010266544937309243
case:OrganizationalEntity_acc,0.6339105486869812,0.010311824044671998
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.008535371771590276,0.0048856502507526635
case:RequestedAmount_mae,0.4247242415493185,0.03282412426586125
AVG_total_loss,14.425079489490864,0.08250350740043406
MAE_time:timestamp,0.008411423349753023,0.004834744474810556
MAE_case:RequestedAmount,0.4246065437793732,0.03294888690312653
