,mean,std
org:resource_acc,0.9992745101451874,0.00021136510770958835
Activity_acc,0.9747581899166107,0.01106980712192043
org:role_acc,0.9896312236785889,0.005653766290906553
case:Project_acc,0.9282648384571075,0.013465011708452677
case:Task_acc,0.7522672533988952,0.0019604055553730402
case:OrganizationalEntity_acc,0.9420496046543121,0.01030086219447383
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.006699539716778831,0.0006789622809121544
case:RequestedAmount_mae,0.08460330517793244,0.053749814183445974
AVG_total_loss,11.450931625479875,0.27667508050336176
MAE_time:timestamp,0.00660678930580616,0.0007242368013870298
MAE_case:RequestedAmount,0.08462508376687765,0.053732317835045
