,mean,std
org:resource_acc,0.9398760974407196,0.026019295833233935
Activity_acc,0.8126817107200622,0.008657131814473543
org:role_acc,0.8665050745010376,0.004205470086031179
case:Project_acc,0.48672587275505064,0.10564688614454117
case:Task_acc,0.7531123578548431,0.000354761065280634
case:OrganizationalEntity_acc,0.5309369713068008,0.10374864787385434
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.007624334257773377,0.0016358928308995119
case:RequestedAmount_mae,86.45989577553487,9.30285886684697
AVG_total_loss,101.89803566163067,9.166388561020227
MAE_time:timestamp,0.0074968085624277595,0.0016528897880358179
MAE_case:RequestedAmount,84.85071487426758,9.424166757025011
