,mean,std
org:resource_acc,0.9965333819389344,0.0010421345826503094
Activity_acc,0.8028923690319061,0.009042416932927004
org:role_acc,0.8464908480644227,0.010295092829070816
case:Project_acc,0.7451935321092605,0.16844013693919477
case:Task_acc,0.7526584267616272,0.0
case:OrganizationalEntity_acc,0.8044661760330201,0.16130794730052586
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.007623092034323649,0.0012047679676153056
case:RequestedAmount_mae,13.48443805954673,7.612059966389361
AVG_total_loss,26.830317358401693,7.473368176913642
MAE_time:timestamp,0.00748157650232315,0.0012399470884242752
MAE_case:RequestedAmount,13.528821897506713,7.630081480048496
