,mean,std
org:resource_acc,0.9874899625778198,0.006273181992805052
Activity_acc,0.9383293211460113,0.01076430533389528
org:role_acc,0.9616649627685547,0.01906599729824235
case:Project_acc,0.7948724925518036,0.05387863875490466
case:Task_acc,0.7591830909252166,0.002808255093920187
case:Activity_acc,0.9693983495235443,0.012235896037775267
case:RfpNumber_acc,0.0384356576949358,0.0005360106745787908
time:timestamp_mae,0.0069059249542822885,0.0007310783118249366
case:RequestedAmount_mae,0.3224634289741516,0.04570555079131702
AVG_total_loss,12.27557325229599,0.2243477532117613
MAE_time:timestamp,0.006784467212855816,0.0007532735007192315
MAE_case:RequestedAmount,0.32225492894649505,0.04592915808654875
