,mean,std
org:resource_acc,0.9993747234344482,0.00012416533484936333
Activity_acc,0.9715247869491577,0.0014078295614128903
org:role_acc,0.9916065573692322,0.0010841850520186191
case:Project_acc,0.9324675440788269,0.01227823123846783
case:Task_acc,0.7566378176212311,0.0019188238648149526
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.006230779586952518,0.001111217785757915
case:RequestedAmount_mae,0.14010320106013255,0.08445260370300699
AVG_total_loss,11.016124558591667,0.1780704870406168
MAE_time:timestamp,0.006070106104016304,0.0011258860875562032
MAE_case:RequestedAmount,0.14029105044901372,0.08449940138833482
