,mean,std
org:resource_acc,0.9997279584407807,0.0002646848803961389
Activity_acc,0.9271161198616028,0.0008484701618878001
org:role_acc,0.9857013642787933,0.00042869977409929464
case:Project_acc,0.8516021966934204,0.020587049712946025
case:Task_acc,0.7510278284549713,0.0013459091456430917
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.006729271656579593,0.0006739357439608892
case:RequestedAmount_mae,0.10291035727343775,0.06343555983784957
AVG_total_loss,11.821561011045494,0.1523296846750164
MAE_time:timestamp,0.006681060511618852,0.0007172002932662811
MAE_case:RequestedAmount,0.10321556404232979,0.06351991264382864
