,mean,std
org:resource_acc,0.9517770111560822,0.0015042195638080378
Activity_acc,0.8117124021053315,0.009746956504904824
org:role_acc,0.8548734068870545,0.035722938848284695
case:Project_acc,0.5080236732959748,0.09944044903685993
case:Task_acc,0.7530315160751343,0.00034202210033690614
case:Activity_acc,0.9148357212543488,0.013027145823461261
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.009228558029810135,0.0032606160511776386
case:RequestedAmount_mae,83.21855409795587,7.23134660572474
AVG_total_loss,97.17409321469763,7.11272265831347
MAE_time:timestamp,0.009088725177571177,0.003292986071582968
MAE_case:RequestedAmount,81.59462356567383,7.3654206426137465
