,mean,std
org:resource_acc,0.9972990095615387,0.000992736465361644
Activity_acc,0.8059123754501343,0.008965614140592928
org:role_acc,0.8409187495708466,0.013286131170314549
case:Project_acc,0.7763292253017425,0.16063604586316746
case:Task_acc,0.7526584267616272,0.0
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.009025239356031473,0.003137470446879381
case:RequestedAmount_mae,14.331489172848785,6.8298319427351215
AVG_total_loss,26.867646161657337,6.811406791431614
MAE_time:timestamp,0.008866757480427622,0.003149610821877427
MAE_case:RequestedAmount,14.373834896087647,6.849148400218506
