,mean,std
org:resource_acc,0.9900134325027465,0.0029700632190893324
Activity_acc,0.9237377285957337,0.014487764113541078
org:role_acc,0.9666755557060241,0.010362386831837905
case:Task_acc,0.7598052084445953,0.0016027696946227716
case:OrganizationalEntity_acc,0.8289839744567871,0.03380498907796932
case:Activity_acc,0.9692077696323395,0.009180299370129845
case:RfpNumber_acc,0.037678719684481624,0.0017139709989682375
time:timestamp_mae,0.007261902889744804,0.0011062323415585971
case:RequestedAmount_mae,0.33785725913264536,0.04729102570337957
AVG_total_loss,12.10904985212467,0.22284570001741413
MAE_time:timestamp,0.007132613891735673,0.00112055201419172
MAE_case:RequestedAmount,0.33781103491783143,0.047391683047779735
