,mean,std
org:resource_acc,0.9996392488479614,0.00025976561457338845
Activity_acc,0.9673641383647918,0.003545593618059322
org:role_acc,0.9911496043205261,0.002663181250412943
case:Task_acc,0.7562289655208587,0.002091122670862438
case:OrganizationalEntity_acc,0.938335758447647,0.013427497503950399
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.006671539632688192,0.0016668447162793377
case:RequestedAmount_mae,0.125468503379009,0.057161173271737906
AVG_total_loss,10.914454250459942,0.1809124883641558
MAE_time:timestamp,0.006501352321356535,0.0016651949904637768
MAE_case:RequestedAmount,0.12553025111556054,0.057032084305458204
