,mean,std
org:resource_acc,0.9993651986122132,9.560032065137636e-05
Activity_acc,0.9709190249443054,0.013482153607789203
org:role_acc,0.9913845598697663,0.0009795555740165344
case:Task_acc,0.7522974789142609,0.002041355738968973
case:OrganizationalEntity_acc,0.9347340106964112,0.012539935871103055
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.0068710986228490405,0.0005126518837867772
case:RequestedAmount_mae,0.12292694872753189,0.07620453447314049
AVG_total_loss,11.180072533482665,0.21030146016215082
MAE_time:timestamp,0.006744607770815492,0.0005143520228076765
MAE_case:RequestedAmount,0.12291978970170021,0.07598179385467722
