,mean,std
org:resource_acc,0.9444264531135559,0.01621343025319447
Activity_acc,0.809693020582199,0.00925675138365379
org:role_acc,0.8592352986335754,0.015720327432775467
case:Task_acc,0.7530045747756958,0.00022723924798363434
case:OrganizationalEntity_acc,0.5237748868763447,0.14423945692946652
case:Activity_acc,0.9144049167633057,0.008431240232747711
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.008319865819066765,0.0022408281790861646
case:RequestedAmount_mae,81.57554692355069,5.455341722056538
AVG_total_loss,95.28312168206851,5.606682831058914
MAE_time:timestamp,0.00823576096445322,0.0022971064576619593
MAE_case:RequestedAmount,79.95956649780274,5.553447402740613
