,mean,std
org:resource_acc,0.9965546488761902,0.0011725989000338783
Activity_acc,0.8105487048625946,0.0063895601510991044
org:role_acc,0.8445129692554474,0.009845759750136565
case:Task_acc,0.7529136359691619,0.0008070423756565422
case:OrganizationalEntity_acc,0.8964057743549347,0.023156024149124845
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.007386176254261624,0.0009877245372982273
case:RequestedAmount_mae,0.11712427362799645,0.04290880092235404
AVG_total_loss,12.135817842261696,0.10632393347144861
MAE_time:timestamp,0.007324069505557418,0.0010643681465120026
MAE_case:RequestedAmount,0.11756916269659996,0.04292623128903249
