,mean,std
org:resource_acc,0.9547651290893555,0.0058436873456615855
Activity_acc,0.8069785416126252,0.007506521646956291
org:role_acc,0.8816543459892273,0.0076390187803670314
case:Project_acc,0.5339328944683075,0.02993083410834436
case:Task_acc,0.7594265222549439,0.0005870921442119318
case:OrganizationalEntity_acc,0.5660427868366241,0.015119500450251462
case:Activity_acc,0.9146746814250946,0.005082445921518379
case:RfpNumber_acc,0.038687970489263535,0.0
time:timestamp_mae,0.006705175319009207,0.0016906405222834172
AVG_total_loss,15.366928719437087,0.14160764396617445
MAE_time:timestamp,0.006621006550267339,0.001751447330913156
