,mean,std
org:resource_acc,0.9995911538600921,0.0006004394766958165
Activity_acc,0.8747715413570404,0.00637923485386188
org:role_acc,0.8880952298641205,0.00011617482735887048
case:Project_acc,0.6200096368789673,0.029256800534153065
case:Task_acc,0.7549302577972412,0.0009752888206542856
case:OrganizationalEntity_acc,0.6364598453044892,0.02339583345318353
case:Activity_acc,0.9215969443321228,0.0
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.006072372388602658,0.0012005865396319021
AVG_total_loss,14.171564820192923,0.07101526439321705
MAE_time:timestamp,0.005934134870767593,0.001203663560827069
