,mean,std
org:resource_acc,0.9993047416210175,0.00032024023114709095
Activity_acc,0.9625151455402374,0.019518934587664672
org:role_acc,0.9769649684429169,0.017172117152695347
case:Project_acc,0.9323156237602234,0.006164765360294294
case:Task_acc,0.752357941865921,0.0018238480782693655
case:OrganizationalEntity_acc,0.9419286906719208,0.008445659596840967
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.00710741424382749,0.0021655116963312246
AVG_total_loss,11.365327013577254,0.07945522083588914
MAE_time:timestamp,0.007038014568388462,0.0022586977409765206
