,mean,std
org:resource_acc,0.9287829399108887,0.01900857904578812
Activity_acc,0.8093160629272461,0.008981153523626866
org:role_acc,0.8658050239086151,0.004493274688963774
case:Project_acc,0.5586160242557525,0.03006067274394885
case:Task_acc,0.754109364748001,0.0008544921805936147
case:OrganizationalEntity_acc,0.5864027738571167,0.014212042929509165
case:Activity_acc,0.9161550462245941,0.007697847614775124
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.006628785798834127,0.0014272986313145497
AVG_total_loss,15.292737094693901,0.13186600919007568
MAE_time:timestamp,0.006538506550714374,0.001481805947022006
