,mean,std
org:resource_acc,0.9973840832710266,0.0010800339746809765
Activity_acc,0.9673968374729156,0.019100585652004037
org:role_acc,0.9813058197498321,0.005808334065745621
case:Project_acc,0.9282858192920684,0.0080028098543207
case:Task_acc,0.7540408194065094,0.0015572043124754413
case:OrganizationalEntity_acc,0.9371543943881988,0.012873165946907633
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.007560624224557118,0.0018500532468923392
AVG_total_loss,11.460655811676672,0.1232224109455921
MAE_time:timestamp,0.007414135709404945,0.0019605442266255393
