,mean,std
org:resource_acc,0.9591678023338318,0.015048698599515235
Activity_acc,0.8059476315975189,0.009276165901685406
org:role_acc,0.8883086383342743,0.014384609395898085
case:Project_acc,0.46942282617092135,0.07604918812068076
case:Task_acc,0.7586421132087707,0.00033855785714524326
case:OrganizationalEntity_acc,0.5152406543493271,0.09366790217721069
case:Activity_acc,0.9154642164707184,0.005129317235937939
time:timestamp_mae,0.008811869978142733,0.006125887592477247
case:RequestedAmount_mae,98.37574577331543,5.563458712246877
AVG_total_loss,105.27020730061076,5.57555588777745
MAE_time:timestamp,0.008740975428372622,0.00624830506587122
MAE_case:RequestedAmount,98.24250411987305,5.629348353006152
