,mean,std
org:resource_acc,0.9993747234344482,0.0002027847041309843
Activity_acc,0.9695045948028564,0.00403837489500045
org:role_acc,0.9908369660377503,0.0009912771131883066
case:Project_acc,0.9359788537025452,0.009090920412272165
case:Task_acc,0.757022625207901,0.0019605735309254934
case:OrganizationalEntity_acc,0.9541847229003906,0.005681383703780374
case:Activity_acc,1.0,0.0
time:timestamp_mae,0.005997203265062787,0.00031791812902885286
case:RequestedAmount_mae,0.05292940837415783,0.024944406748116328
AVG_total_loss,2.356193801951171,0.059710629084091325
MAE_time:timestamp,0.005886027263477445,0.00034137528389240995
MAE_case:RequestedAmount,0.05323257856070995,0.02498281457999547
