,mean,std
org:resource_acc,0.9074851453304291,0.012822836600306836
Activity_acc,0.857404375076294,0.01973172546326029
org:role_acc,0.8597737848758698,0.016217194844142926
case:Project_acc,0.8416800856590271,0.022328946748410895
case:Task_acc,0.7546482980251312,0.0006751769078435889
case:OrganizationalEntity_acc,0.8634625315666199,0.015387150822783233
case:Activity_acc,0.9821754992008209,0.006989951225557152
time:timestamp_mae,0.007185188579288395,0.0004912993318938068
case:RequestedAmount_mae,0.11102487641302021,0.014010160144270294
AVG_total_loss,4.121723976536569,0.052698207083604134
MAE_time:timestamp,0.007031587604433298,0.0005109392135696527
MAE_case:RequestedAmount,0.11077172160148621,0.014038887348489449
