,mean,std
org:resource_acc,0.9877584159374238,0.005461104365135311
Activity_acc,0.9280993521213532,0.00788307108544505
org:role_acc,0.9652174532413482,0.0069265894769677105
case:Project_acc,0.7928053796291351,0.0354930961165407
case:OrganizationalEntity_acc,0.82770054936409,0.03442345339165409
case:Activity_acc,0.9708685338497162,0.0065505315472629225
case:RfpNumber_acc,0.038463692739605905,0.0006170470666009686
time:timestamp_mae,0.008444530343298208,0.0035020298437733422
case:RequestedAmount_mae,0.2989897057414055,0.020855136011062845
AVG_total_loss,11.470766935332424,0.1389400904289325
MAE_time:timestamp,0.008355947630479931,0.003584708474343858
MAE_case:RequestedAmount,0.2987368106842041,0.021038620091838833
