,mean,std
org:resource_acc,0.9996675014495849,0.0002646886621381361
Activity_acc,0.9262394547462464,0.0024600079610857376
org:role_acc,0.9856106638908386,0.0004551318496977188
case:Project_acc,0.7853083729743957,0.09677367922787039
case:OrganizationalEntity_acc,0.8484885334968567,0.08082383631367272
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.00831630740060725,0.002533274782760683
case:RequestedAmount_mae,11.645159628174522,6.226131718952841
AVG_total_loss,22.57050394909139,6.625446948465761
MAE_time:timestamp,0.00823280094191432,0.002494410038305369
MAE_case:RequestedAmount,11.68052430152893,6.25057161250049
