,mean,std
org:resource_acc,0.9404415249824524,0.01856373607825516
Activity_acc,0.8147280156612396,0.005324029477288681
org:role_acc,0.8681744396686554,0.002388773989305295
case:Project_acc,0.5550888240337372,0.018138126968783592
case:OrganizationalEntity_acc,0.5839256584644318,0.016150625862767276
case:Activity_acc,0.8995960831642151,0.0353825086531661
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.006367752396247604,0.0009157891589613598
case:RequestedAmount_mae,0.4935549917546186,0.026038077056922338
AVG_total_loss,13.97988571649925,0.12102386246076796
MAE_time:timestamp,0.006285308487713337,0.00097089283472952
MAE_case:RequestedAmount,0.49119494259357455,0.026204643296662174
