,mean,std
org:resource_acc,0.9975116848945618,0.0016837447122186836
Activity_acc,0.9656954288482666,0.012734530570084916
org:role_acc,0.9883028388023376,0.0061328672315894735
case:Project_acc,0.928051882982254,0.009981936230108677
case:OrganizationalEntity_acc,0.9373458027839661,0.013219447904352916
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.007983987460928885,0.0023645839021236847
case:RequestedAmount_mae,0.10671445862813429,0.02387726470162303
AVG_total_loss,10.106756058380812,0.13041265554495954
MAE_time:timestamp,0.00784384817816317,0.0024567463768451897
MAE_case:RequestedAmount,0.10681127533316612,0.023965206027630595
