,mean,std
Activity_acc,0.9285369098186493,0.0023853959570423163
org:role_acc,0.9859129786491394,0.0005910040162212062
case:Project_acc,0.8630592703819275,0.03294164407025147
case:Task_acc,0.7506952881813049,0.0009980400816660272
case:OrganizationalEntity_acc,0.8978537321090698,0.015444773926536417
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.008823217333040454,0.003979525650803174
case:RequestedAmount_mae,0.06379923622377894,0.0317463455542229
AVG_total_loss,12.165472830906086,0.13641199755355304
MAE_time:timestamp,0.008826340176165104,0.004073068367615981
MAE_case:RequestedAmount,0.0640440784394741,0.0317661877867365
