,mean,std
Activity_acc,0.8119523525238037,0.0011244848883113297
org:role_acc,0.8512547850608826,0.008340704332511332
case:Project_acc,0.8677583932876587,0.02888644396772659
case:Task_acc,0.7527860343456269,0.0004035306121501019
case:OrganizationalEntity_acc,0.8958315432071686,0.02450638644045172
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.008924268977716565,0.003919629148101933
case:RequestedAmount_mae,0.08289542450484903,0.03516806915717717
AVG_total_loss,12.800403935834765,0.11195213332043034
MAE_time:timestamp,0.008882652968168259,0.004069535453154014
MAE_case:RequestedAmount,0.0833861242979765,0.03525144997378048
