,mean,std
org:resource_acc,0.9727516949176789,0.010497099764419069
Activity_acc,0.9096748173236847,0.013264546112313255
case:Project_acc,0.8125637769699097,0.02307918740030011
case:Task_acc,0.7598593056201934,0.0015076329516767089
case:OrganizationalEntity_acc,0.8321390569210052,0.02767083097744879
case:Activity_acc,0.9756602585315705,0.009802255377264663
case:RfpNumber_acc,0.038687970489263535,0.0
time:timestamp_mae,0.00752180339768529,0.0011007475926168141
case:RequestedAmount_mae,0.29653160125017164,0.03076665310952044
AVG_total_loss,12.80009512018243,0.3138472805430609
MAE_time:timestamp,0.007419588137418031,0.0011508409756424288
MAE_case:RequestedAmount,0.296136274933815,0.030671670435475
