,mean,std
org:resource_acc,0.9994468510150909,0.0007351666478106731
Activity_acc,0.857215017080307,0.01617860888039277
case:Project_acc,0.5163540244102478,0.1159795327764094
case:Task_acc,0.7542808949947357,0.0005786570518463135
case:OrganizationalEntity_acc,0.5074314624071121,0.19320999203958394
case:Activity_acc,0.9215969443321228,0.0
case:RfpNumber_acc,0.044733043760061264,0.0
time:timestamp_mae,0.006085025711747055,0.0009299837193181641
case:RequestedAmount_mae,79.87627442099831,6.348506949838453
AVG_total_loss,94.41557841481514,6.75180237328493
MAE_time:timestamp,0.005955235054716468,0.0010172212385007135
MAE_case:RequestedAmount,79.90156555175781,6.392324515693106
