,mean,std
org:resource_acc,0.9993047416210175,0.00024887378264404515
Activity_acc,0.9711608529090882,0.010952638571035287
case:Project_acc,0.9354595243930817,0.0037466735838538596
case:Task_acc,0.7529927670955658,0.0016584991567492094
case:OrganizationalEntity_acc,0.9440447747707367,0.01244321843580558
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
time:timestamp_mae,0.007374073670838368,0.0019164853459006199
case:RequestedAmount_mae,0.09842018117620187,0.03945568526088943
AVG_total_loss,11.423650782444748,0.2670067493719232
MAE_time:timestamp,0.007293321285396814,0.001956235277553986
MAE_case:RequestedAmount,0.09855462089180947,0.039544435915145865
