,mean,std
org:resource_acc,0.9325255274772644,0.028948726525994683
Activity_acc,0.7989498734474182,0.019258973299463956
case:Project_acc,0.5475497901439667,0.032249089173903595
case:Task_acc,0.7538398981094361,0.0006255289153535655
case:OrganizationalEntity_acc,0.5888798892498016,0.02613464390917676
case:Activity_acc,0.9167474031448364,0.006980708913036622
case:RfpNumber_acc,0.04132695868611336,0.0
time:timestamp_mae,0.008313240123574029,0.004213882037251798
case:RequestedAmount_mae,0.4874340834942731,0.021243996087175424
AVG_total_loss,15.36677616666579,0.18553154837597724
MAE_time:timestamp,0.008162149041891099,0.004165092025873032
MAE_case:RequestedAmount,0.48516112864017485,0.021390084890304834
