,mean,std
org:resource_acc,0.9865163743495942,0.03651722076889018
Activity_acc,0.9681199431419373,0.018317392954193764
case:Project_acc,0.9319013118743896,0.00882186394655277
case:Task_acc,0.7550403892993927,0.0014964708112507421
case:OrganizationalEntity_acc,0.9335389137268066,0.01936404413374407
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
time:timestamp_mae,0.007433928951451724,0.0006836606014648535
case:RequestedAmount_mae,0.1030742555518042,0.029261086362140098
AVG_total_loss,11.47026470372538,0.2099494030315906
MAE_time:timestamp,0.007275556260719895,0.0007026307670680069
MAE_case:RequestedAmount,0.10323855318129063,0.02932061187881384
