,mean,std
org:resource_acc,0.9550604224205017,0.002852884502341421
Activity_acc,0.8115780711174011,0.004301887891349976
org:role_acc,0.8840668559074402,0.005677828808263341
case:Project_acc,0.532912763953209,0.03642760186037516
case:Task_acc,0.7592642307281494,0.0004597375900086573
case:OrganizationalEntity_acc,0.5529411792755127,0.011215086220753265
case:Activity_acc,0.9129322409629822,0.007954991677596916
case:RfpNumber_acc,0.038687970489263535,0.0
case:RequestedAmount_mae,0.16381427232514728,0.006527508526394558
AVG_total_loss,15.55017278106375,0.17673175407486705
MAE_case:RequestedAmount,0.16394400894641875,0.006565888655514397
