,mean,std
org:resource_acc,0.9996873438358307,0.00011617482735887048
Activity_acc,0.851034152507782,0.04875986838510292
org:role_acc,0.8811928749084472,0.021633132048819313
case:Project_acc,0.43674844205379487,0.11198671338289609
case:Task_acc,0.7539922893047333,7.605427717435008e-05
case:OrganizationalEntity_acc,0.5447330579161644,0.13317277420828677
case:Activity_acc,0.9045695245265961,0.0538454292613258
case:RfpNumber_acc,0.044733043760061264,0.0
case:RequestedAmount_mae,83.0517442183061,8.72139103128385
AVG_total_loss,98.13545817672698,9.022989440108224
MAE_case:RequestedAmount,83.08466949462891,8.765555286560554
