,mean,std
org:resource_acc,0.9991838157176971,0.0002488770005620853
Activity_acc,0.968289029598236,0.02294650235462358
org:role_acc,0.9881802022457122,0.008598166878915209
case:Project_acc,0.9246674954891205,0.013367177613846584
case:Task_acc,0.7529322981834412,0.002828811488695905
case:OrganizationalEntity_acc,0.9448912024497986,0.006894996688642156
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03174123540520668,0.0
case:RequestedAmount_mae,0.06417582378807393,0.029872109589795675
AVG_total_loss,11.38132541579861,0.08336341546528407
MAE_case:RequestedAmount,0.06435267291963101,0.030005917570322428
