,mean,std
org:resource_acc,0.9015885412693023,0.012701034792300862
Activity_acc,0.8507807910442352,0.019601310519257835
org:role_acc,0.8453149795532227,0.013539691459264222
case:Project_acc,0.8324178457260132,0.02645681977347146
case:Task_acc,0.7540015876293182,0.0009111471774809553
case:OrganizationalEntity_acc,0.8507269442081451,0.015746141170269932
case:Activity_acc,0.9806676983833313,0.011421831969968734
case:RfpNumber_acc,0.04132695868611336,0.0
case:RequestedAmount_mae,0.12262583456256174,0.016037407385906196
AVG_total_loss,13.06397252864289,0.16889521277031772
MAE_case:RequestedAmount,0.12238530740141869,0.016121005189609204
