,mean,std
org:resource_acc,0.997639286518097,0.0010147655694026133
Activity_acc,0.8011909782886505,0.02453304101257534
org:role_acc,0.841067624092102,0.008725771898894376
case:Project_acc,0.8586771488189697,0.048407247518239306
case:Task_acc,0.753424060344696,0.0008218592687306158
case:OrganizationalEntity_acc,0.8980646371841431,0.016718464274615083
case:Activity_acc,1.0,0.0
case:RfpNumber_acc,0.03998298570513725,0.0
case:RequestedAmount_mae,0.06634774180975828,0.00939484210244293
AVG_total_loss,12.889272703429345,0.20446332105390602
MAE_case:RequestedAmount,0.06666363626718522,0.009411421698200825
