,mean,std
org:resource_acc,0.020797720225527883,0.01408904743842136
impact_acc,0.7943152666091919,0.0070186248066752095
concept:name_acc,0.5978436589241027,0.004545941009817262
lifecycle:transition_acc,0.556914883852005,0.010353761459648357
org:group_acc,0.7182065308094024,0.0572597137406429
org:role_acc,0.4604316711425781,0.0206909343059217
organization country_acc,0.7437333226203918,0.03326986473282537
organization involved_acc,0.11604278162121773,0.01580332092609594
product_acc,0.21413333117961883,0.026280161497371585
resource country_acc,0.7094629168510437,0.014477697602278586
time:timestamp_mae,0.019400067115202545,0.004114832604128316
AVG_total_loss,25.449678901815787,0.15147226518548898
MAE_time:timestamp,0.020526464376598597,0.004692673308911077
