,mean,std
org:resource_acc,0.033660933608189225,0.02055838961518367
impact_acc,0.8125000596046448,0.0
concept:name_acc,0.661057710647583,0.0
lifecycle:transition_acc,0.7338942646980285,0.016999637814536655
org:group_acc,0.7463942527770996,0.07735798035994101
org:role_acc,0.4993421107530594,0.030824208321606834
organization country_acc,0.7947115898132324,0.0030406631954810795
organization involved_acc,0.13689320385456086,0.018668118461964405
product_acc,0.2221153900027275,0.036318501790843685
resource country_acc,0.7216346442699433,0.014722666854041009
time:timestamp_mae,0.02036409149877727,0.004170881052510578
AVG_total_loss,23.977747172815725,0.20466932641317914
MAE_time:timestamp,0.020905641838908195,0.004627358716524968
