,mean,std
org:resource_acc,0.04307228736579418,0.023505556531010403
impact_acc,1.0,0.0
concept:name_acc,0.5189349055290222,0.0037423353701883425
lifecycle:transition_acc,0.5286982178688049,0.0014291087312973717
org:group_acc,0.915976345539093,0.009060109400287363
org:role_acc,0.6787564516067505,0.026107456203729437
organization country_acc,0.9721893846988678,0.0037423416530695634
organization involved_acc,0.1875370904803276,0.03465590897811401
product_acc,0.3183431953191757,0.03193195693934191
resource country_acc,0.8213017821311951,0.018670083954966155
time:timestamp_mae,0.02065895199775696,0.0046457915840430256
AVG_total_loss,20.479885489540173,0.3899624515032049
MAE_time:timestamp,0.02116944808512926,0.004988009248200218
