,mean,std
org:resource_acc,0.08791209012269974,0.03091931028487491
impact_acc,0.9535248279571533,0.021132884662215107
concept:name_acc,0.7154047071933747,0.006962570051365204
lifecycle:transition_acc,0.6454308152198791,0.0141838523840645
org:group_acc,0.8775456964969635,0.018765479170455814
org:role_acc,0.6836930751800537,0.014496886628757446
organization country_acc,0.92140993475914,0.014377442844704285
organization involved_acc,0.20530503541231154,0.06189465529543306
product_acc,0.40548303723335266,0.03988411483825322
resource country_acc,0.812532651424408,0.022318298939294094
time:timestamp_mae,0.01424376261420548,0.005349598108235011
AVG_total_loss,20.051645100908353,0.4423049963063649
MAE_time:timestamp,0.013326614396646619,0.004965272280216707
