,mean,std
org:resource_acc,0.10367816053330899,0.030274502323089942
impact_acc,1.0,0.0
concept:name_acc,0.7497816562652588,0.011237409060467076
lifecycle:transition_acc,0.6803493499755859,0.044416202636385675
org:group_acc,0.9532894849777221,0.01796670811005476
org:role_acc,0.7192697525024414,0.020734239682205582
organization country_acc,0.9694323241710663,0.00690454090288031
organization involved_acc,0.24800884649157523,0.07020594658989654
product_acc,0.4545851588249207,0.05017930052132515
resource country_acc,0.840174674987793,0.013569159415959552
time:timestamp_mae,0.014019977441057563,0.005277420718141027
AVG_total_loss,17.85212255846709,0.6240261693283069
MAE_time:timestamp,0.01283885887823999,0.004821932878570388
