,mean,std
Activity_acc,0.7215384900569916,0.02094279098688473
org:resource_acc,0.09772079586982726,0.014958396377102065
impact_acc,0.9144703030586243,0.009854572991850233
lifecycle:transition_acc,0.7510638117790223,0.011907195293205566
org:group_acc,0.8709239304065705,0.019437740157409913
org:role_acc,0.5824940204620361,0.03382816196490018
organization country_acc,0.8895999848842621,0.015508503597013987
organization involved_acc,0.2748663142323494,0.04364108334134285
product_acc,0.294399993121624,0.03128080550228215
resource country_acc,0.769565224647522,0.01371728192406637
time:timestamp_mae,0.020361192733980717,0.007416311893303964
AVG_total_loss,21.31773591360543,0.47486350989619264
MAE_time:timestamp,0.01885883607901633,0.00748375623649458
