,mean,std
Activity_acc,0.7389423370361328,0.011343171278426614
org:resource_acc,0.05749385580420494,0.015199030295605525
impact_acc,0.7930289030075073,0.06157320352476792
lifecycle:transition_acc,0.7387019515037536,0.011334677925398098
org:group_acc,0.7560096383094788,0.07551844020724024
org:role_acc,0.5524122834205627,0.009939915811870632
organization country_acc,0.795673131942749,0.0
organization involved_acc,0.16116504929959774,0.04662048045814647
product_acc,0.2680288523435593,0.025268985941970717
resource country_acc,0.7408654093742371,0.014189714457307767
time:timestamp_mae,0.021190321212634443,0.006524346378283964
AVG_total_loss,23.423548553651198,0.28743125802473046
MAE_time:timestamp,0.02339532459154725,0.006749757693270725
