,mean,std
Activity_acc,0.6822485268115998,0.01209444366851612
org:resource_acc,0.14939758479595183,0.026034815634585144
impact_acc,1.0,0.0
lifecycle:transition_acc,0.7097633183002472,0.019398189102192837
org:group_acc,0.9414201319217682,0.007484681735434478
org:role_acc,0.7383419454097748,0.02843190907098509
organization country_acc,0.9713018000125885,0.009767801538893214
organization involved_acc,0.3750741809606552,0.059366959836185194
product_acc,0.3798816591501236,0.02896119664392019
resource country_acc,0.8630177736282348,0.009667710110242363
time:timestamp_mae,0.017549978545866908,0.006022577371841368
AVG_total_loss,18.8976950724551,0.5213086180433627
MAE_time:timestamp,0.016164739010855557,0.005604646696162921
