,mean,std
Activity_acc,0.6454308271408081,0.016595561111950062
org:resource_acc,0.12032967433333397,0.022348827609660563
impact_acc,0.9443864345550537,0.012734684401671616
lifecycle:transition_acc,0.6574412703514099,0.010715922028300585
org:group_acc,0.8715404868125916,0.038820653229205214
org:role_acc,0.653717041015625,0.03282637589169329
organization country_acc,0.9154047131538391,0.0175019119271906
organization involved_acc,0.2973474711179733,0.04799766672672129
product_acc,0.32898172438144685,0.025103924682160418
resource country_acc,0.8065274298191071,0.03257493332816455
time:timestamp_mae,0.01863712426275015,0.0072800290929978684
AVG_total_loss,20.64738968927413,0.5791706212125577
MAE_time:timestamp,0.016947417939081787,0.005784134334535767
